Episode,Epsilon
1,1.0
2,1.0
3,1.0
4,0.9511101304657719
5,0.918316468354365
6,0.8778091417340573
7,0.8475428503023453
8,0.8061065909263957
9,0.7744209942832988
10,0.7255664080186093
11,0.6832098777212641
12,0.6596532430440636
13,0.6305556603555866
14,0.5790496471185967
15,0.5507399854171277
16,0.531750826943791
17,0.5057535983897912
18,0.4810273709480478
19,0.4506816115185697
20,0.4351424010585501
21,0.4222502236424958
22,0.39561243860243744
23,0.3743896431025813
24,0.3578751580867638
25,0.3403786882983606
26,0.326999438029567
27,0.30945741577570285
28,0.2943280830920294
29,0.27714603575484437
30,0.2649210072611673
31,0.25450776877280124
32,0.23607350863684065
33,0.2189744609715989
34,0.21036724137609603
35,0.2041345879004775
36,0.19808659230739353
37,0.18934890919900021
38,0.18373897616330553
39,0.1730128104744653
40,0.1678868750508869
41,0.16291280823111093
42,0.15650920157696743
43,0.15111286553822956
44,0.14087196468590776
45,0.1313250884614265
46,0.1242800989098765
47,0.11999500148501063
48,0.11585765144771248
49,0.10746596228306791
50,0.10376060541355137
51,0.09624511776741324
52,0.0888276147181114
53,0.08448484422350626
54,0.08035439121179945
55,0.07719590465791494
56,0.07342180695061275
57,0.06810378976195819
58,0.06412808167716157
59,0.06129936495526111
60,0.05830244700006734
61,0.0554520479727078
62,0.05092252885731386
63,0.04652918187562211
64,0.04294323012606958
65,0.0386526615487428
66,0.035317898767708356
67,0.033760011361539714
68,0.032109488810599975
69,0.029634846598205186
70,0.028186002814352063
71,0.02694270634579598
72,0.024250791254731636
73,0.022158551474944856
74,0.020656869087560238
75,0.018969543067746772
76,0.016735314893855303
77,0.01583754189442009
78,0.014987930304771725
79,0.013972200057807112
80,0.01335588042198471
81,0.012513320603703188
82,0.010874738754866477
83,0.00998645168764533
84,0.00998645168764533
85,0.00998645168764533
86,0.00998645168764533
87,0.00998645168764533
88,0.00998645168764533
89,0.00998645168764533
90,0.00998645168764533
91,0.00998645168764533
92,0.00998645168764533
93,0.00998645168764533
94,0.00998645168764533
95,0.00998645168764533
96,0.00998645168764533
97,0.00998645168764533
98,0.00998645168764533
99,0.00998645168764533
100,0.00998645168764533
101,0.00998645168764533
