Episode,Consigli_dati
1,2
2,2
3,2
4,2
5,4
6,1
7,0
8,2
9,1
10,1
11,4
12,0
13,2
14,3
15,4
16,4
17,0
18,4
19,2
20,0
21,4
22,4
23,1
24,2
25,4
26,3
27,3
28,4
29,1
30,1
31,0
32,1
33,1
34,2
35,2
36,5
37,0
38,3
39,1
40,3
41,9
42,6
43,2
44,2
45,1
46,2
47,1
48,2
49,2
50,1
51,1
52,5
53,7
54,4
55,2
56,2
57,5
58,3
59,1
60,1
61,4
62,3
63,2
64,5
65,4
66,1
67,2
68,2
69,2
70,5
71,2
72,3
73,5
74,2
75,2
76,2
77,1
78,3
79,3
80,3
81,2
82,3
83,4
84,2
85,9
86,4
87,1
88,2
89,0
90,3
91,2
92,0
93,4
94,3
95,1
96,2
97,1
98,2
99,3
100,2
101,3
102,4
103,2
104,2
105,2
106,3
107,8
108,2
109,7
110,2
111,3
112,4
113,7
114,3
115,7
116,2
117,4
118,3
119,2
120,4
121,4
122,3
123,3
124,7
125,2
126,3
127,1
128,2
129,2
130,1
131,3
132,5
133,4
134,0
135,3
136,2
137,3
138,2
139,4
140,4
141,4
142,1
143,3
144,5
145,1
146,6
147,4
148,4
149,3
150,3
151,2
152,3
153,2
154,4
155,4
156,6
157,5
158,3
159,6
160,4
161,3
162,7
163,4
164,8
165,8
166,11
167,0
168,3
169,3
170,11
171,7
172,5
173,6
174,3
175,3
176,7
177,4
178,5
179,2
180,5
181,4
182,3
183,5
184,6
185,4
186,3
187,5
188,8
189,6
190,4
191,6
192,4
193,8
194,7
195,5
196,5
197,9
198,5
199,2
200,3
201,4
202,9
203,3
204,0
205,5
206,6
207,5
208,3
209,5
210,3
211,3
212,12
213,8
214,4
215,7
216,5
217,1
218,3
219,3
220,7
221,4
222,7
223,3
224,7
225,9
226,1
227,7
228,8
229,3
230,6
231,8
232,9
233,2
234,3
235,5
236,6
237,6
238,4
239,5
240,4
241,4
242,11
243,4
244,4
245,6
246,6
247,9
248,8
249,5
250,10
251,8
252,14
253,1
254,3
255,6
256,5
257,6
258,8
259,8
260,6
261,3
262,6
263,8
264,7
265,8
266,9
267,13
268,6
269,5
270,11
271,5
272,3
273,7
274,9
275,7
276,13
277,7
278,9
279,5
280,5
281,4
282,4
283,7
284,6
285,3
286,7
287,6
288,8
289,11
290,6
291,11
292,9
293,7
294,1
295,6
296,5
297,12
298,8
299,4
300,12
301,11
302,6
303,8
304,7
305,4
306,6
307,9
308,6
309,8
310,4
311,5
312,2
313,4
314,5
315,7
316,5
317,8
318,9
319,7
320,6
321,5
322,9
323,6
324,9
325,6
326,6
327,5
328,5
329,3
330,9
331,4
332,6
333,8
334,8
335,5
336,6
337,10
338,7
339,10
340,8
341,5
342,6
343,7
344,5
345,5
346,4
347,6
348,5
349,8
350,8
351,8
352,7
353,8
354,4
355,6
356,5
357,3
358,4
359,7
360,7
361,10
362,10
363,5
364,9
365,4
366,5
367,8
368,5
369,6
370,9
371,6
372,5
373,5
374,9
375,10
376,9
377,5
378,7
379,7
380,5
381,6
382,5
383,7
384,12
385,7
386,5
387,6
388,6
389,7
390,8
391,6
392,10
393,8
394,9
395,2
396,5
397,5
398,5
399,6
400,6
401,5
402,7
403,4
404,7
405,9
406,2
407,7
408,5
409,5
410,7
411,10
412,6
413,7
414,4
415,7
416,8
417,5
418,9
419,4
420,4
421,8
422,5
423,6
424,3
425,7
426,10
427,4
428,6
429,4
430,5
431,6
432,4
433,10
434,6
435,10
436,3
437,4
438,7
439,6
440,5
441,9
442,6
443,7
444,5
445,5
446,7
447,5
448,4
449,4
450,6
451,9
452,8
453,11
454,6
455,7
456,5
457,9
458,4
459,6
460,7
461,3
462,9
463,6
464,8
465,8
466,7
467,10
468,7
469,8
470,4
471,4
472,5
473,8
474,4
475,8
476,10
477,6
478,8
479,4
480,8
481,7
482,6
483,6
484,7
485,4
486,6
487,8
488,7
489,4
490,7
491,8
492,4
493,10
494,8
495,6
496,4
497,5
498,9
499,6
500,5
501,5
502,8
503,8
504,8
505,7
506,3
507,4
508,6
509,9
510,4
511,9
512,7
513,7
514,9
515,4
516,3
517,3
518,10
519,6
520,5
521,4
522,11
523,8
524,4
525,3
526,9
527,4
528,7
529,10
530,5
531,4
532,4
533,8
534,2
535,5
536,7
537,6
538,9
539,3
540,5
541,5
542,6
543,3
544,6
545,5
546,6
547,4
548,12
549,7
550,1
551,9
