Episode,Epsilon
1,1.0
2,1.0
3,1.0
4,0.960693043575437
5,0.918316468354365
6,0.8822202429488013
7,0.8560822709551227
8,0.8224322824348486
9,0.7822236754458713
10,0.7514768435208588
11,0.6832098777212641
12,0.6498078359349755
13,0.6149486215357263
14,0.5848838636585911
15,0.5562889678716474
16,0.5290920728090721
17,0.5032248303978422
18,0.4598090507939749
19,0.4351424010585501
20,0.4222502236424958
21,0.40565285250151817
22,0.3800621177172763
23,0.3578751580867638
24,0.3438081748424137
25,0.326999438029567
26,0.3079101286968243
27,0.2943280830920294
28,0.28134514724562876
29,0.27164454854530906
30,0.26227842021373715
31,0.2532352299289372
32,0.23489314109365644
33,0.22793384675362674
34,0.2178795886667409
35,0.2000824143909432
36,0.182820281282489
37,0.17475600159032884
38,0.1662122034722543
39,0.1580861105294992
40,0.14590259167570602
41,0.13264825480308728
42,0.12304040492325048
43,0.1135578192100607
44,0.10480604571960442
45,0.10018300685223579
46,0.09480864735409487
47,0.09153970651645797
48,0.08750185146499175
49,0.08364210790237678
50,0.0811640021330769
51,0.07797369223798889
52,0.07232597730414898
53,0.0667518955258533
54,0.06191698689958447
55,0.05830244700006734
56,0.05573070148010834
57,0.05195383849590569
58,0.0494138221100385
59,0.047234157581800176
60,0.04583472801998072
61,0.04425437624418858
62,0.0418803316354751
63,0.03923829805195549
64,0.03621424652392737
65,0.033423255248208356
66,0.03227084302572862
67,0.03131473892591842
68,0.030235026982422884
69,0.029339239003388088
70,0.027214167668287145
71,0.02601373925779093
72,0.024866262250633264
73,0.023297566459620722
74,0.022494281437179946
75,0.02171869316274056
76,0.020246819920648168
77,0.019450979052291272
78,0.018592988164936427
79,0.017951913959130504
80,0.01707424722777892
81,0.016485538227150154
82,0.01575835418494799
83,0.01506324653745902
84,0.014471156162198668
85,0.013289101019874787
86,0.012264924940880204
87,0.011723913930325095
88,0.01137656378004644
89,0.011039504743095268
90,0.010499784796482848
91,0.00998645168764533
92,0.00998645168764533
93,0.00998645168764533
94,0.00998645168764533
95,0.00998645168764533
96,0.00998645168764533
97,0.00998645168764533
98,0.00998645168764533
99,0.00998645168764533
100,0.00998645168764533
101,0.00998645168764533
102,0.00998645168764533
103,0.00998645168764533
104,0.00998645168764533
105,0.00998645168764533
106,0.00998645168764533
107,0.00998645168764533
108,0.00998645168764533
109,0.00998645168764533
110,0.00998645168764533
111,0.00998645168764533
112,0.00998645168764533
113,0.00998645168764533
114,0.00998645168764533
115,0.00998645168764533
116,0.00998645168764533
117,0.00998645168764533
118,0.00998645168764533
119,0.00998645168764533
120,0.00998645168764533
121,0.00998645168764533
122,0.00998645168764533
123,0.00998645168764533
124,0.00998645168764533
125,0.00998645168764533
126,0.00998645168764533
127,0.00998645168764533
128,0.00998645168764533
129,0.00998645168764533
130,0.00998645168764533
131,0.00998645168764533
132,0.00998645168764533
133,0.00998645168764533
134,0.00998645168764533
135,0.00998645168764533
136,0.00998645168764533
137,0.00998645168764533
138,0.00998645168764533
139,0.00998645168764533
140,0.00998645168764533
141,0.00998645168764533
142,0.00998645168764533
143,0.00998645168764533
144,0.00998645168764533
145,0.00998645168764533
146,0.00998645168764533
147,0.00998645168764533
148,0.00998645168764533
149,0.00998645168764533
150,0.00998645168764533
151,0.00998645168764533
